Designator,Mid X,Mid Y,Rotation,Layer
C14,184.000000,-72.500000,270.000000,bottom
C17,185.850000,-75.900000,180.000000,bottom
G***,188.150000,-83.150000,180.000000,bottom
G***,190.150000,-60.800000,180.000000,bottom
IC1,189.700000,-72.000000,0.000000,bottom
C1,197.600000,-67.900000,180.000000,top
C2,203.000000,-75.800000,0.000000,top
C3,196.900000,-75.200000,180.000000,top
C4,191.700000,-63.200000,180.000000,top
C5,189.500000,-63.200000,0.000000,top
C6,176.600000,-79.800000,270.000000,top
C7,190.000000,-80.600000,0.000000,top
C8,190.900000,-59.580000,90.000000,top
C9,183.600000,-59.550000,90.000000,top
C10,180.600000,-75.100000,270.000000,top
C11,192.300000,-68.450000,180.000000,top
C12,185.600000,-65.900000,180.000000,top
C13,189.900000,-78.200000,0.000000,top
C15,186.600000,-57.600000,0.000000,top
C16,193.000000,-86.900000,90.000000,top
C18,191.400000,-86.900000,90.000000,top
C19,175.900000,-73.700000,180.000000,top
C20,189.800000,-86.900000,90.000000,top
D1,174.950000,-69.200000,270.000000,top
D2,176.750000,-69.200000,90.000000,top
D3,198.550000,-86.100000,180.000000,top
J1,209.200000,-79.200000,90.000000,top
Q1,178.300000,-64.100000,90.000000,top
Q2,181.700000,-64.100000,90.000000,top
Q3,175.000000,-64.100000,90.000000,top
R1,179.100000,-72.450000,0.000000,top
R2,203.900000,-64.800000,90.000000,top
R3,179.100000,-71.350000,0.000000,top
R4,179.100000,-73.550000,180.000000,top
R5,200.300000,-60.200000,0.000000,top
R6,203.500000,-78.500000,180.000000,top
R7,203.500000,-79.600000,0.000000,top
R8,189.900000,-79.300000,0.000000,top
R9,203.500000,-80.700000,180.000000,top
R10,175.000000,-71.800000,270.000000,top
R11,203.800000,-72.400000,90.000000,top
R12,176.800000,-71.800000,90.000000,top
R13,186.300000,-63.500000,180.000000,top
R14,189.400000,-57.600000,180.000000,top
R15,178.350000,-66.500000,0.000000,top
R16,177.700000,-61.700000,0.000000,top
R17,181.700000,-66.500000,0.000000,top
R18,181.100000,-61.700000,0.000000,top
R19,175.000000,-66.500000,0.000000,top
R20,174.400000,-61.700000,0.000000,top
RN1,184.700000,-78.700000,90.000000,top
RN2,193.300000,-71.500000,180.000000,top
SW1,182.700000,-91.200000,180.000000,top
SW2,189.700000,-91.200000,0.000000,top
SW3,196.800000,-91.200000,0.000000,top
U1,198.600000,-64.200000,0.000000,top
U2,186.700000,-72.300000,270.000000,top
U3,198.600000,-71.600000,0.000000,top
U4,184.400000,-85.100000,180.000000,top
Y1,190.600000,-65.000000,0.000000,top
Y2,187.250000,-60.550000,180.000000,top
